春秋战国时期出现了许多派别，他们发表各自的见解，进行争论，我们称这一现象为()	百家争鸣
自公元前206年开始，项羽和刘邦为争做皇帝，进行了将近四年的战争，历史称为“楚汉之争”。最后，()战胜()，建立汉朝，定都长安，历史上称为西汉。	"刘邦,项羽"
照例子写出与下列成语有关的人名。  负荆请罪（廉颇），画龙点睛()，妙笔生花()，约法三章()，洛阳纸贵()，闻鸡起舞()，赔了夫人又折兵()。	"张僧繇,李白,刘邦,左思,祖狄,周瑜"
把成语补充完整。  ()如洗，()如归，()如流，()如土，()如山，()如年，()如焚，()如瓶，()如鼠，()如簧	"一贫,视死,对答,挥金,恩重,度日,心急,守口,胆小,巧舌"
"巧填成语，填叠词。如：斤斤计较,忠心(),风尘()，千里(),衣冠(),大名(),文质(),()有条，()是道，()为营，()不舍"	"耿耿,仆仆,迢迢,楚楚,鼎鼎,彬彬,井井,头头,步步,依依"
填表示动物名称的字组成语。  亡()补牢，()到成功，飞()扑火，()刀小试，引()入室，尖嘴()腮，朱颜()发，杀()取卵，如()得水，闻()起舞，金()脱壳，()飞凤舞	"羊,马,蛾,牛,狼,猴,鹤,鸡,鱼,鸡,蝉,龙"
填表示动物名称的字组成语。()歌()舞，()心()肺，()丝()迹，()假()威，()毛()角，()兵()将	"莺,燕,狼,狗,蛛,马,狐,虎,凤,麟,虾,蟹"
填表示动物名称的字组成语。门可罗()，()肠小道，浑水摸()，()口余生，()头()尾，()立()群，	"雀,羊,鱼,虎,虎,蛇,鹤,鸡,"
填成语。风()雨顺，()头丧气，口若()河，眼花()乱，阴谋()计，鸦()无声，惊涛()浪，夸夸()谈	"调,垂,悬,缭,诡,雀,骇,其"
填属相组成语。过街老()，气冲斗()，生龙活()，守株待()，叶公好()，打草惊()	"鼠,牛,虎,兔,龙,蛇"
填属相组成语。识途老()，顺手牵()，杀鸡儆()，呆若木()，画虎类()，一龙一()	"马,羊,猴,鸡,犬,猪"
"填下列成语的主人翁名。四面楚歌(),初出茅庐(),入木三分(),煮豆燃萁(),破釜沉舟(),纸上谈兵(),背水一战()"	"项羽,诸葛亮,王羲之,曹植,项羽,赵括,韩信"
